Item_ID,URL,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
4130091440003_092,https://s7d2.scene7.com/is/image/nu/4130091440003_092_b?$pdp-regular$,-3.706114386,-0.634591839,2.304870196,-1.160775315,2.852430437,1.660414214,0.941997452,-0.091054561,1.163488081,2.388516857
4130095140005_009,https://s7d2.scene7.com/is/image/nu/4130095140005_009_b?$pdp-regular$,-2.75268777,2.357012623,3.0137424,-0.743053692,1.624283573,0.244706433,-2.933375253,0.931733075,-0.499775366,-0.498496465
4130095140006_066,https://s7d2.scene7.com/is/image/nu/4130095140006_066_b?$pdp-regular$,-1.665803751,2.563439266,2.233783841,-1.009876124,1.43243786,1.364186878,1.29380448,-0.740912688,2.48484068,1.319710903
4130212060071_052,https://s7d2.scene7.com/is/image/nu/4130212060071_052_b?$pdp-regular$,-4.239067393,1.383488924,-2.103137102,-2.392222031,0.500646168,-2.341371872,-0.287984892,1.08841977,-0.248928648,-0.587704654
4130212060080_008,https://s7d2.scene7.com/is/image/nu/4130212060080_008_b?$pdp-regular$,-2.90164962,2.198220767,0.616396646,0.366319225,-1.510737724,-0.977802504,0.545414682,-0.589822402,0.292139121,-0.751222578
4130212060082_001,https://s7d2.scene7.com/is/image/nu/4130212060082_001_b?$pdp-regular$,-4.600377504,0.15680399,-0.704315702,-0.836721341,-0.201999832,-1.44867365,-0.965795228,0.052829915,-0.643760881,-0.124735867
4130231803171_001,https://s7d2.scene7.com/is/image/nu/4130231803171_001_c2?$pdp-regular$,-2.256117255,0.545606147,0.113227619,2.389532075,0.396193537,2.825473517,-1.989174975,-2.014107237,-2.251692971,1.656324926
4130232030007_066,https://s7d2.scene7.com/is/image/nu/4130232030007_066_b?$pdp-regular$,-0.097481108,1.612065533,0.423594277,0.540938434,0.977022348,5.208488709,0.044041022,-0.641870146,3.116395529,0.672833146
4130232030008_001,https://s7d2.scene7.com/is/image/nu/4130232030008_001_b?$pdp-regular$,-3.211960359,2.238504073,-1.773021717,1.324843047,0.952668531,2.725007629,-1.058045684,-2.828156042,-0.314298548,1.621562773
4130232030012_026,https://s7d2.scene7.com/is/image/nu/4130232030012_026_b?$pdp-regular$,-0.576168377,-2.424119088,-0.346674825,0.00632065,-1.086256036,1.253633072,-0.698642904,-1.7879431,1.60836611,3.763609532
4130265410004_069,https://s7d2.scene7.com/is/image/nu/4130265410004_069_b?$pdp-regular$,-3.580007144,2.711966505,0.666950011,2.341189338,-1.85621735,1.671068016,-1.2070944,1.237640996,-1.780137384,0.039406471
4130265410012_049,https://s7d2.scene7.com/is/image/nu/4130265410012_049_b?$pdp-regular$,-2.897634664,-0.112307709,3.673665423,2.201644702,1.650193319,1.672076176,-2.875816191,0.531733042,-0.977321197,0.119384613
4130265419664_018,https://s7d2.scene7.com/is/image/nu/4130265419664_018_b?$pdp-regular$,-3.747609711,0.735174206,-0.037166759,2.330903667,0.043101938,-1.005562596,-0.517680355,0.806451956,-1.884386794,3.697173001
4130292120004_009,https://s7d2.scene7.com/is/image/nu/4130292120004_009_b?$pdp-regular$,-2.681033619,3.018838099,2.392519003,0.781223386,1.606351614,0.876216204,-2.685433425,0.262761062,-1.42752811,-0.265496756
